Row 1[0]:  1-50.857897,4.337842-1
Row 1[1]:  2-50.857247,4.344038-2
Row 1[2]:  3-50.856598,4.350234-3
Row 1[3]:  4-50.855948,4.356429-4
Row 1[4]:  5-50.855299,4.362625-5
Row 1[5]:  6-50.854649,4.368821-6
Row 2[6]:  1-50.849854,4.334358-1
Row 2[7]:  2-50.849287,4.341783-2
Row 2[8]:  3-50.848720,4.349208-3
Row 2[9]:  4-50.848153,4.356634-4
Row 2[10]:  5-50.847586,4.364059-5
Row 2[11]:  6-50.847019,4.371484-6
Row 3[12]:  1-50.841811,4.330873-1
Row 3[13]:  2-50.841327,4.339528-2
Row 3[14]:  3-50.840843,4.348183-3
Row 3[15]:  4-50.840358,4.356837-4
Row 3[16]:  5-50.839874,4.365492-5
Row 3[17]:  6-50.839390,4.374147-6
Row 4[18]:  1-50.833768,4.327389-1
Row 4[19]:  2-50.833366,4.337273-2
Row 4[20]:  3-50.832965,4.347158-3
Row 4[21]:  4-50.832563,4.357042-4
Row 4[22]:  5-50.832162,4.366927-5
Row 4[23]:  6-50.831760,4.376811-6
Row 5[24]:  1-50.825725,4.323904-1
Row 5[25]:  2-50.825406,4.335018-2
Row 5[26]:  3-50.825087,4.346132-3
Row 5[27]:  4-50.824769,4.357246-4
Row 5[28]:  5-50.824450,4.368360-5
Row 5[29]:  6-50.824131,4.379474-6
Row 6[30]:  1-50.817682,4.320420-1
Row 6[31]:  2-50.817446,4.332763-2
Row 6[32]:  3-50.817210,4.345107-3
Row 6[33]:  4-50.816973,4.357450-4
Row 6[34]:  5-50.816737,4.369794-5
Row 6[35]:  6-50.816501,4.382137-6
