Row 1[0]:  1-38.917595,-77.068120-1
Row 1[1]:  2-38.919527,-77.048733-2
Row 1[2]:  3-38.921459,-77.029346-3
Row 1[3]:  4-38.923392,-77.009958-4
Row 1[4]:  5-38.925324,-76.990571-5
Row 1[5]:  6-38.927256,-76.971184-6
Row 2[6]:  1-38.908302,-77.065921-1
Row 2[7]:  2-38.910059,-77.047210-2
Row 2[8]:  3-38.911815,-77.028499-3
Row 2[9]:  4-38.913572,-77.009787-4
Row 2[10]:  5-38.915328,-76.991076-5
Row 2[11]:  6-38.917085,-76.972365-6
Row 3[12]:  1-38.899009,-77.063722-1
Row 3[13]:  2-38.900590,-77.045687-2
Row 3[14]:  3-38.902171,-77.027652-3
Row 3[15]:  4-38.903751,-77.009616-4
Row 3[16]:  5-38.905332,-76.991581-5
Row 3[17]:  6-38.906913,-76.973546-6
Row 4[18]:  1-38.889715,-77.061524-1
Row 4[19]:  2-38.891120,-77.044164-2
Row 4[20]:  3-38.892526,-77.026805-3
Row 4[21]:  4-38.893931,-77.009445-4
Row 4[22]:  5-38.895337,-76.992086-5
Row 4[23]:  6-38.896742,-76.974726-6
Row 5[24]:  1-38.880422,-77.059325-1
Row 5[25]:  2-38.881652,-77.042641-2
Row 5[26]:  3-38.882881,-77.025958-3
Row 5[27]:  4-38.884111,-77.009274-4
Row 5[28]:  5-38.885340,-76.992591-5
Row 5[29]:  6-38.886570,-76.975907-6
Row 6[30]:  1-38.871129,-77.057126-1
Row 6[31]:  2-38.872183,-77.041118-2
Row 6[32]:  3-38.873237,-77.025111-3
Row 6[33]:  4-38.874291,-77.009103-4
Row 6[34]:  5-38.875345,-76.993096-5
Row 6[35]:  6-38.876399,-76.977088-6
