Row 1[0]:  1-41.874824,-87.800740-1
Row 1[1]:  2-41.875507,-87.765974-2
Row 1[2]:  3-41.876190,-87.731209-3
Row 1[3]:  4-41.876872,-87.696443-4
Row 1[4]:  5-41.877555,-87.661678-5
Row 1[5]:  6-41.878238,-87.626912-6
Row 2[6]:  1-41.855589,-87.800106-1
Row 2[7]:  2-41.856254,-87.764437-2
Row 2[8]:  3-41.856919,-87.728768-3
Row 2[9]:  4-41.857583,-87.693100-4
Row 2[10]:  5-41.858248,-87.657431-5
Row 2[11]:  6-41.858913,-87.621762-6
Row 3[12]:  1-41.836354,-87.799472-1
Row 3[13]:  2-41.837001,-87.762900-2
Row 3[14]:  3-41.837648,-87.726328-3
Row 3[15]:  4-41.838294,-87.689756-4
Row 3[16]:  5-41.838941,-87.653184-5
Row 3[17]:  6-41.839588,-87.616612-6
Row 4[18]:  1-41.817118,-87.798837-1
Row 4[19]:  2-41.817747,-87.761362-2
Row 4[20]:  3-41.818376,-87.723887-3
Row 4[21]:  4-41.819006,-87.686411-4
Row 4[22]:  5-41.819635,-87.648936-5
Row 4[23]:  6-41.820264,-87.611461-6
Row 5[24]:  1-41.797883,-87.798203-1
Row 5[25]:  2-41.798494,-87.759825-2
Row 5[26]:  3-41.799105,-87.721446-3
Row 5[27]:  4-41.799717,-87.683068-4
Row 5[28]:  5-41.800328,-87.644689-5
Row 5[29]:  6-41.800939,-87.606311-6
Row 6[30]:  1-41.778648,-87.797569-1
Row 6[31]:  2-41.779241,-87.758287-2
Row 6[32]:  3-41.779834,-87.719006-3
Row 6[33]:  4-41.780428,-87.679724-4
Row 6[34]:  5-41.781021,-87.640443-5
Row 6[35]:  6-41.781614,-87.601161-6
