0=0{'upperRight_ne_x': 41.875507, 'upperRight_ne_y': -87.765974, 'loweRLeft_sw_x': 41.855589, 'loweRLeft_sw_y': -87.800106}
0=1{'upperRight_ne_x': 41.87619, 'upperRight_ne_y': -87.731209, 'loweRLeft_sw_x': 41.856254, 'loweRLeft_sw_y': -87.764437}
0=2{'upperRight_ne_x': 41.876872, 'upperRight_ne_y': -87.696443, 'loweRLeft_sw_x': 41.856919, 'loweRLeft_sw_y': -87.728768}
0=3{'upperRight_ne_x': 41.877555, 'upperRight_ne_y': -87.661678, 'loweRLeft_sw_x': 41.857583, 'loweRLeft_sw_y': -87.6931}
0=4{'upperRight_ne_x': 41.878238, 'upperRight_ne_y': -87.626912, 'loweRLeft_sw_x': 41.858248, 'loweRLeft_sw_y': -87.657431}
1=0{'upperRight_ne_x': 41.856254, 'upperRight_ne_y': -87.764437, 'loweRLeft_sw_x': 41.836354, 'loweRLeft_sw_y': -87.799472}
1=1{'upperRight_ne_x': 41.856919, 'upperRight_ne_y': -87.728768, 'loweRLeft_sw_x': 41.837001, 'loweRLeft_sw_y': -87.7629}
1=2{'upperRight_ne_x': 41.857583, 'upperRight_ne_y': -87.6931, 'loweRLeft_sw_x': 41.837648, 'loweRLeft_sw_y': -87.726328}
1=3{'upperRight_ne_x': 41.858248, 'upperRight_ne_y': -87.657431, 'loweRLeft_sw_x': 41.838294, 'loweRLeft_sw_y': -87.689756}
1=4{'upperRight_ne_x': 41.858913, 'upperRight_ne_y': -87.621762, 'loweRLeft_sw_x': 41.838941, 'loweRLeft_sw_y': -87.653184}
2=0{'upperRight_ne_x': 41.837001, 'upperRight_ne_y': -87.7629, 'loweRLeft_sw_x': 41.817118, 'loweRLeft_sw_y': -87.798837}
2=1{'upperRight_ne_x': 41.837648, 'upperRight_ne_y': -87.726328, 'loweRLeft_sw_x': 41.817747, 'loweRLeft_sw_y': -87.761362}
2=2{'upperRight_ne_x': 41.838294, 'upperRight_ne_y': -87.689756, 'loweRLeft_sw_x': 41.818376, 'loweRLeft_sw_y': -87.723887}
2=3{'upperRight_ne_x': 41.838941, 'upperRight_ne_y': -87.653184, 'loweRLeft_sw_x': 41.819006, 'loweRLeft_sw_y': -87.686411}
2=4{'upperRight_ne_x': 41.839588, 'upperRight_ne_y': -87.616612, 'loweRLeft_sw_x': 41.819635, 'loweRLeft_sw_y': -87.648936}
3=0{'upperRight_ne_x': 41.817747, 'upperRight_ne_y': -87.761362, 'loweRLeft_sw_x': 41.797883, 'loweRLeft_sw_y': -87.798203}
3=1{'upperRight_ne_x': 41.818376, 'upperRight_ne_y': -87.723887, 'loweRLeft_sw_x': 41.798494, 'loweRLeft_sw_y': -87.759825}
3=2{'upperRight_ne_x': 41.819006, 'upperRight_ne_y': -87.686411, 'loweRLeft_sw_x': 41.799105, 'loweRLeft_sw_y': -87.721446}
3=3{'upperRight_ne_x': 41.819635, 'upperRight_ne_y': -87.648936, 'loweRLeft_sw_x': 41.799717, 'loweRLeft_sw_y': -87.683068}
3=4{'upperRight_ne_x': 41.820264, 'upperRight_ne_y': -87.611461, 'loweRLeft_sw_x': 41.800328, 'loweRLeft_sw_y': -87.644689}
4=0{'upperRight_ne_x': 41.798494, 'upperRight_ne_y': -87.759825, 'loweRLeft_sw_x': 41.778648, 'loweRLeft_sw_y': -87.797569}
4=1{'upperRight_ne_x': 41.799105, 'upperRight_ne_y': -87.721446, 'loweRLeft_sw_x': 41.779241, 'loweRLeft_sw_y': -87.758287}
4=2{'upperRight_ne_x': 41.799717, 'upperRight_ne_y': -87.683068, 'loweRLeft_sw_x': 41.779834, 'loweRLeft_sw_y': -87.719006}
4=3{'upperRight_ne_x': 41.800328, 'upperRight_ne_y': -87.644689, 'loweRLeft_sw_x': 41.780428, 'loweRLeft_sw_y': -87.679724}
4=4{'upperRight_ne_x': 41.800939, 'upperRight_ne_y': -87.606311, 'loweRLeft_sw_x': 41.781021, 'loweRLeft_sw_y': -87.640443}
