Row 1[0]:  1-40.469288,-3.721952-1
Row 1[1]:  2-40.468952,-3.711981-2
Row 1[2]:  3-40.468616,-3.702011-3
Row 1[3]:  4-40.468279,-3.692040-4
Row 1[4]:  5-40.467943,-3.682070-5
Row 1[5]:  6-40.467607,-3.672099-6
Row 2[6]:  1-40.460223,-3.723413-1
Row 2[7]:  2-40.459968,-3.713026-2
Row 2[8]:  3-40.459713,-3.702638-3
Row 2[9]:  4-40.459458,-3.692251-4
Row 2[10]:  5-40.459203,-3.681863-5
Row 2[11]:  6-40.458948,-3.671476-6
Row 3[12]:  1-40.451158,-3.724873-1
Row 3[13]:  2-40.450984,-3.714069-2
Row 3[14]:  3-40.450810,-3.703265-3
Row 3[15]:  4-40.450637,-3.692461-4
Row 3[16]:  5-40.450463,-3.681657-5
Row 3[17]:  6-40.450289,-3.670853-6
Row 4[18]:  1-40.442094,-3.726334-1
Row 4[19]:  2-40.442001,-3.715113-2
Row 4[20]:  3-40.441909,-3.703892-3
Row 4[21]:  4-40.441816,-3.692672-4
Row 4[22]:  5-40.441724,-3.681451-5
Row 4[23]:  6-40.441631,-3.670230-6
Row 5[24]:  1-40.433029,-3.727794-1
Row 5[25]:  2-40.433018,-3.716157-2
Row 5[26]:  3-40.433006,-3.704519-3
Row 5[27]:  4-40.432995,-3.692882-4
Row 5[28]:  5-40.432983,-3.681244-5
Row 5[29]:  6-40.432972,-3.669607-6
Row 6[30]:  1-40.423964,-3.729255-1
Row 6[31]:  2-40.424034,-3.717201-2
Row 6[32]:  3-40.424104,-3.705147-3
Row 6[33]:  4-40.424173,-3.693092-4
Row 6[34]:  5-40.424243,-3.681038-5
Row 6[35]:  6-40.424313,-3.668984-6
