Row 1[0]:  1-19.457284,-99.189005-1
Row 1[1]:  2-19.456625,-99.177350-2
Row 1[2]:  3-19.455967,-99.165695-3
Row 1[3]:  4-19.455308,-99.154039-4
Row 1[4]:  5-19.454650,-99.142384-5
Row 1[5]:  6-19.453991,-99.130729-6
Row 2[6]:  1-19.446917,-99.188306-1
Row 2[7]:  2-19.446361,-99.176598-2
Row 2[8]:  3-19.445805,-99.164890-3
Row 2[9]:  4-19.445249,-99.153182-4
Row 2[10]:  5-19.444693,-99.141474-5
Row 2[11]:  6-19.444137,-99.129766-6
Row 3[12]:  1-19.436550,-99.187608-1
Row 3[13]:  2-19.436097,-99.175847-2
Row 3[14]:  3-19.435643,-99.164086-3
Row 3[15]:  4-19.435190,-99.152326-4
Row 3[16]:  5-19.434736,-99.140565-5
Row 3[17]:  6-19.434283,-99.128804-6
Row 4[18]:  1-19.426183,-99.186909-1
Row 4[19]:  2-19.425832,-99.175095-2
Row 4[20]:  3-19.425481,-99.163282-3
Row 4[21]:  4-19.425131,-99.151468-4
Row 4[22]:  5-19.424780,-99.139655-5
Row 4[23]:  6-19.424429,-99.127841-6
Row 5[24]:  1-19.415816,-99.186211-1
Row 5[25]:  2-19.415568,-99.174345-2
Row 5[26]:  3-19.415320,-99.162478-3
Row 5[27]:  4-19.415071,-99.150612-4
Row 5[28]:  5-19.414823,-99.138745-5
Row 5[29]:  6-19.414575,-99.126879-6
Row 6[30]:  1-19.405449,-99.185512-1
Row 6[31]:  2-19.405303,-99.173593-2
Row 6[32]:  3-19.405158,-99.161674-3
Row 6[33]:  4-19.405012,-99.149754-4
Row 6[34]:  5-19.404867,-99.137835-5
Row 6[35]:  6-19.404721,-99.125916-6
