0=0{'upperRight_ne_x': 19.456625, 'upperRight_ne_y': -99.17735, 'loweRLeft_sw_x': 19.446917, 'loweRLeft_sw_y': -99.188306}
0=1{'upperRight_ne_x': 19.455967, 'upperRight_ne_y': -99.165695, 'loweRLeft_sw_x': 19.446361, 'loweRLeft_sw_y': -99.176598}
0=2{'upperRight_ne_x': 19.455308, 'upperRight_ne_y': -99.154039, 'loweRLeft_sw_x': 19.445805, 'loweRLeft_sw_y': -99.16489}
0=3{'upperRight_ne_x': 19.45465, 'upperRight_ne_y': -99.142384, 'loweRLeft_sw_x': 19.445249, 'loweRLeft_sw_y': -99.153182}
0=4{'upperRight_ne_x': 19.453991, 'upperRight_ne_y': -99.130729, 'loweRLeft_sw_x': 19.444693, 'loweRLeft_sw_y': -99.141474}
1=0{'upperRight_ne_x': 19.446361, 'upperRight_ne_y': -99.176598, 'loweRLeft_sw_x': 19.43655, 'loweRLeft_sw_y': -99.187608}
1=1{'upperRight_ne_x': 19.445805, 'upperRight_ne_y': -99.16489, 'loweRLeft_sw_x': 19.436097, 'loweRLeft_sw_y': -99.175847}
1=2{'upperRight_ne_x': 19.445249, 'upperRight_ne_y': -99.153182, 'loweRLeft_sw_x': 19.435643, 'loweRLeft_sw_y': -99.164086}
1=3{'upperRight_ne_x': 19.444693, 'upperRight_ne_y': -99.141474, 'loweRLeft_sw_x': 19.43519, 'loweRLeft_sw_y': -99.152326}
1=4{'upperRight_ne_x': 19.444137, 'upperRight_ne_y': -99.129766, 'loweRLeft_sw_x': 19.434736, 'loweRLeft_sw_y': -99.140565}
2=0{'upperRight_ne_x': 19.436097, 'upperRight_ne_y': -99.175847, 'loweRLeft_sw_x': 19.426183, 'loweRLeft_sw_y': -99.186909}
2=1{'upperRight_ne_x': 19.435643, 'upperRight_ne_y': -99.164086, 'loweRLeft_sw_x': 19.425832, 'loweRLeft_sw_y': -99.175095}
2=2{'upperRight_ne_x': 19.43519, 'upperRight_ne_y': -99.152326, 'loweRLeft_sw_x': 19.425481, 'loweRLeft_sw_y': -99.163282}
2=3{'upperRight_ne_x': 19.434736, 'upperRight_ne_y': -99.140565, 'loweRLeft_sw_x': 19.425131, 'loweRLeft_sw_y': -99.151468}
2=4{'upperRight_ne_x': 19.434283, 'upperRight_ne_y': -99.128804, 'loweRLeft_sw_x': 19.42478, 'loweRLeft_sw_y': -99.139655}
3=0{'upperRight_ne_x': 19.425832, 'upperRight_ne_y': -99.175095, 'loweRLeft_sw_x': 19.415816, 'loweRLeft_sw_y': -99.186211}
3=1{'upperRight_ne_x': 19.425481, 'upperRight_ne_y': -99.163282, 'loweRLeft_sw_x': 19.415568, 'loweRLeft_sw_y': -99.174345}
3=2{'upperRight_ne_x': 19.425131, 'upperRight_ne_y': -99.151468, 'loweRLeft_sw_x': 19.41532, 'loweRLeft_sw_y': -99.162478}
3=3{'upperRight_ne_x': 19.42478, 'upperRight_ne_y': -99.139655, 'loweRLeft_sw_x': 19.415071, 'loweRLeft_sw_y': -99.150612}
3=4{'upperRight_ne_x': 19.424429, 'upperRight_ne_y': -99.127841, 'loweRLeft_sw_x': 19.414823, 'loweRLeft_sw_y': -99.138745}
4=0{'upperRight_ne_x': 19.415568, 'upperRight_ne_y': -99.174345, 'loweRLeft_sw_x': 19.405449, 'loweRLeft_sw_y': -99.185512}
4=1{'upperRight_ne_x': 19.41532, 'upperRight_ne_y': -99.162478, 'loweRLeft_sw_x': 19.405303, 'loweRLeft_sw_y': -99.173593}
4=2{'upperRight_ne_x': 19.415071, 'upperRight_ne_y': -99.150612, 'loweRLeft_sw_x': 19.405158, 'loweRLeft_sw_y': -99.161674}
4=3{'upperRight_ne_x': 19.414823, 'upperRight_ne_y': -99.138745, 'loweRLeft_sw_x': 19.405012, 'loweRLeft_sw_y': -99.149754}
4=4{'upperRight_ne_x': 19.414575, 'upperRight_ne_y': -99.126879, 'loweRLeft_sw_x': 19.404867, 'loweRLeft_sw_y': -99.137835}
