Row 1[0]:  1-48.884077,2.355827-1
Row 1[1]:  2-48.883867,2.361760-2
Row 1[2]:  3-48.883657,2.367694-3
Row 1[3]:  4-48.883446,2.373627-4
Row 1[4]:  5-48.883236,2.379561-5
Row 1[5]:  6-48.883026,2.385494-6
Row 2[6]:  1-48.879083,2.352644-1
Row 2[7]:  2-48.878666,2.358630-2
Row 2[8]:  3-48.878249,2.364616-3
Row 2[9]:  4-48.877833,2.370603-4
Row 2[10]:  5-48.877416,2.376589-5
Row 2[11]:  6-48.876999,2.382575-6
Row 3[12]:  1-48.874090,2.349461-1
Row 3[13]:  2-48.873466,2.355500-2
Row 3[14]:  3-48.872843,2.361539-3
Row 3[15]:  4-48.872219,2.367578-4
Row 3[16]:  5-48.871596,2.373617-5
Row 3[17]:  6-48.870972,2.379656-6
Row 4[18]:  1-48.869096,2.346279-1
Row 4[19]:  2-48.868266,2.352371-2
Row 4[20]:  3-48.867436,2.358462-3
Row 4[21]:  4-48.866605,2.364554-4
Row 4[22]:  5-48.865775,2.370645-5
Row 4[23]:  6-48.864945,2.376737-6
Row 5[24]:  1-48.864103,2.343096-1
Row 5[25]:  2-48.863066,2.349240-2
Row 5[26]:  3-48.862029,2.355385-3
Row 5[27]:  4-48.860992,2.361529-4
Row 5[28]:  5-48.859955,2.367674-5
Row 5[29]:  6-48.858918,2.373818-6
Row 6[30]:  1-48.859109,2.339913-1
Row 6[31]:  2-48.857865,2.346110-2
Row 6[32]:  3-48.856622,2.352307-3
Row 6[33]:  4-48.855378,2.358505-4
Row 6[34]:  5-48.854135,2.364702-5
Row 6[35]:  6-48.852891,2.370899-6
