Row 1[0]:  1-32.092377,34.773149-1
Row 1[1]:  2-32.091406,34.777323-2
Row 1[2]:  3-32.090435,34.781497-3
Row 1[3]:  4-32.089463,34.785672-4
Row 1[4]:  5-32.088492,34.789846-5
Row 1[5]:  6-32.087521,34.794020-6
Row 2[6]:  1-32.088730,34.771512-1
Row 2[7]:  2-32.087578,34.775519-2
Row 2[8]:  3-32.086427,34.779526-3
Row 2[9]:  4-32.085275,34.783534-4
Row 2[10]:  5-32.084124,34.787541-5
Row 2[11]:  6-32.082972,34.791548-6
Row 3[12]:  1-32.085082,34.769875-1
Row 3[13]:  2-32.083750,34.773715-2
Row 3[14]:  3-32.082419,34.777555-3
Row 3[15]:  4-32.081087,34.781395-4
Row 3[16]:  5-32.079756,34.785235-5
Row 3[17]:  6-32.078424,34.789075-6
Row 4[18]:  1-32.081435,34.768239-1
Row 4[19]:  2-32.079923,34.771912-2
Row 4[20]:  3-32.078411,34.775585-3
Row 4[21]:  4-32.076899,34.779257-4
Row 4[22]:  5-32.075387,34.782930-5
Row 4[23]:  6-32.073875,34.786603-6
Row 5[24]:  1-32.077787,34.766602-1
Row 5[25]:  2-32.076095,34.770108-2
Row 5[26]:  3-32.074403,34.773613-3
Row 5[27]:  4-32.072711,34.777119-4
Row 5[28]:  5-32.071019,34.780624-5
Row 5[29]:  6-32.069327,34.784130-6
Row 6[30]:  1-32.074140,34.764965-1
Row 6[31]:  2-32.072268,34.768304-2
Row 6[32]:  3-32.070395,34.771642-3
Row 6[33]:  4-32.068523,34.774981-4
Row 6[34]:  5-32.066650,34.778319-5
Row 6[35]:  6-32.064778,34.781658-6
